CustomerID,VehicleAttribute,VehicleAttributeDetails
Cust21384,VehicleModel,Malibu
Cust27118,VehicleModel,Neon
Cust30237,VehicleModel,RAM
Cust23684,VehicleModel,Neon
Cust35737,VehicleModel,Wrangler
Cust28068,VehicleModel,Jetta
Cust30085,VehicleModel,Pathfinder
Cust22452,VehicleModel,95
Cust7485,VehicleModel,92x
Cust10298,VehicleModel,A3
Cust37850,VehicleModel,Wrangler
Cust4375,VehicleModel,Silverado
Cust30743,VehicleModel,Civic
Cust32555,VehicleModel,Neon
Cust29908,VehicleModel,Tahoe
Cust8222,VehicleModel,E400
Cust10642,VehicleModel,Fusion
Cust33794,VehicleModel,Corolla
Cust7548,VehicleModel,Highlander
Cust2969,VehicleModel,Highlander
Cust24558,VehicleModel,A5
Cust35427,VehicleModel,Grand Cherokee
Cust7295,VehicleModel,ML350
Cust32104,VehicleModel,Escape
Cust19950,VehicleModel,93
Cust5018,VehicleModel,Civic
Cust5346,VehicleModel,Pathfinder
Cust19292,VehicleModel,Impreza
Cust30431,VehicleModel,Jetta
Cust3545,VehicleModel,Accord
Cust29429,VehicleModel,F150
Cust1359,VehicleModel,Grand Cherokee
Cust33177,VehicleModel,C300
Cust13261,VehicleModel,Escape
Cust29255,VehicleModel,Malibu
Cust20892,VehicleModel,E400
Cust12603,VehicleModel,Camry
Cust34499,VehicleModel,Escape
Cust38588,VehicleModel,RSX
Cust12619,VehicleModel,93
Cust30773,VehicleModel,Tahoe
Cust16049,VehicleModel,Wrangler
Cust13877,VehicleModel,Neon
Cust5624,VehicleModel,A5
Cust11161,VehicleModel,TL
Cust16026,VehicleModel,Passat
Cust1921,VehicleModel,MDX
Cust10205,VehicleModel,3 Series
Cust38378,VehicleModel,93
Cust5887,VehicleModel,A3
Cust25042,VehicleModel,Wrangler
Cust17876,VehicleModel,Maxima
Cust12666,VehicleModel,Neon
Cust33175,VehicleModel,C300
Cust29523,VehicleModel,Fusion
Cust3538,VehicleModel,MDX
Cust11419,VehicleModel,Camry
Cust11090,VehicleModel,MDX
Cust3161,VehicleModel,MDX
Cust26073,VehicleModel,Impreza
Cust6567,VehicleModel,Forrestor
Cust36186,VehicleModel,RSX
Cust5767,VehicleModel,Grand Cherokee
Cust39120,VehicleModel,Forrestor
Cust1865,VehicleModel,Camry
Cust6868,VehicleModel,92x
Cust30362,VehicleModel,RAM
Cust9969,VehicleModel,RAM
Cust6962,VehicleModel,M5
Cust32675,VehicleModel,Civic
Cust20927,VehicleModel,MDX
Cust24224,VehicleModel,95
Cust24312,VehicleModel,Passat
Cust8908,VehicleModel,X6
Cust25248,VehicleModel,Passat
Cust19833,VehicleModel,RAM
Cust19404,VehicleModel,95
Cust19979,VehicleModel,TL
Cust38460,VehicleModel,Grand Cherokee
Cust28825,VehicleModel,F150
Cust31956,VehicleModel,RAM
Cust8291,VehicleModel,Passat
Cust5982,VehicleModel,Forrestor
Cust4990,VehicleModel,Silverado
Cust27952,VehicleModel,Neon
Cust11547,VehicleModel,TL
Cust30473,VehicleModel,Corolla
Cust24534,VehicleModel,X5
Cust23024,VehicleModel,Impreza
Cust8014,VehicleModel,X5
Cust18795,VehicleModel,Maxima
Cust16438,VehicleModel,Maxima
Cust10750,VehicleModel,Pathfinder
Cust17616,VehicleModel,92x
Cust14020,VehicleModel,A3
Cust10664,VehicleModel,RAM
Cust22584,VehicleModel,X6
Cust6584,VehicleModel,95
Cust11786,VehicleModel,X6
Cust18345,VehicleModel,Tahoe
Cust28988,VehicleModel,Tahoe
Cust20364,VehicleModel,RAM
Cust1304,VehicleModel,F150
Cust27786,VehicleModel,MDX
Cust26014,VehicleModel,A3
Cust32287,VehicleModel,Passat
Cust32342,VehicleModel,Legacy
Cust36853,VehicleModel,TL
Cust30350,VehicleModel,Maxima
Cust12854,VehicleModel,Fusion
Cust34519,VehicleModel,93
Cust20430,VehicleModel,Impreza
Cust29738,VehicleModel,Forrestor
Cust23273,VehicleModel,ML350
Cust26178,VehicleModel,Corolla
Cust4710,VehicleModel,Grand Cherokee
Cust6909,VehicleModel,Jetta
Cust5973,VehicleModel,Highlander
Cust5004,VehicleModel,RAM
Cust36565,VehicleModel,Tahoe
Cust31687,VehicleModel,93
Cust22786,VehicleModel,Tahoe
Cust36969,VehicleModel,MDX
Cust36984,VehicleModel,Jetta
Cust32258,VehicleModel,CRV
Cust37184,VehicleModel,TL
Cust34790,VehicleModel,Highlander
Cust31711,VehicleModel,Malibu
Cust25407,VehicleModel,Accord
Cust9949,VehicleModel,X6
Cust24742,VehicleModel,Jetta
Cust23205,VehicleModel,Highlander
Cust30803,VehicleModel,Forrestor
Cust38114,VehicleModel,Camry
Cust31026,VehicleModel,Maxima
Cust17907,VehicleModel,Corolla
Cust26402,VehicleModel,TL
Cust28661,VehicleModel,E400
Cust37071,VehicleModel,CRV
Cust7244,VehicleModel,F150
Cust35657,VehicleModel,92x
Cust5292,VehicleModel,E400
Cust4362,VehicleModel,Accord
Cust7628,VehicleModel,93
Cust37937,VehicleModel,Neon
Cust2362,VehicleModel,Grand Cherokee
Cust31239,VehicleModel,Passat
Cust14871,VehicleModel,X5
Cust32346,VehicleModel,Escape
Cust35407,VehicleModel,3 Series
Cust13721,VehicleModel,TL
Cust7546,VehicleModel,Camry
Cust16192,VehicleModel,Jetta
Cust24531,VehicleModel,Ultima
Cust21840,VehicleModel,3 Series
Cust5883,VehicleModel,Camry
Cust11724,VehicleModel,RAM
Cust38133,VehicleModel,Corolla
Cust6486,VehicleModel,F150
Cust32928,VehicleModel,Corolla
Cust2530,VehicleModel,Neon
Cust1441,VehicleModel,Neon
Cust15350,VehicleModel,Camry
Cust6041,VehicleModel,Highlander
