CustomerID,VehicleAttribute,VehicleAttributeDetails
Cust33335,VehicleMake,Toyota
Cust20624,VehicleMake,Chevrolet
Cust9006,VehicleMake,Accura
Cust18447,VehicleMake,Honda
Cust17021,VehicleMake,BMW
Cust6021,VehicleMake,Saab
Cust9789,VehicleMake,Suburu
Cust23287,VehicleMake,Audi
Cust38479,VehicleMake,Audi
Cust17938,VehicleMake,Toyota
Cust9597,VehicleMake,Chevrolet
Cust19578,VehicleMake,Chevrolet
Cust37745,VehicleMake,Dodge
Cust37493,VehicleMake,Accura
Cust20216,VehicleMake,Toyota
Cust1224,VehicleMake,Mercedes
Cust19605,VehicleMake,Dodge
Cust36087,VehicleMake,Accura
Cust24978,VehicleMake,Accura
Cust8699,VehicleMake,Audi
Cust32545,VehicleMake,Accura
Cust34412,VehicleMake,Dodge
Cust8623,VehicleMake,Dodge
Cust16049,VehicleMake,Saab
Cust2680,VehicleMake,Dodge
Cust24319,VehicleMake,Volkswagen
Cust13437,VehicleMake,Honda
Cust1727,VehicleMake,Chevrolet
Cust31153,VehicleMake,Volkswagen
Cust28836,VehicleMake,Nissan
Cust8794,VehicleMake,Chevrolet
Cust9714,VehicleMake,Jeep
Cust30078,VehicleMake,Suburu
Cust13878,VehicleMake,Suburu
Cust17739,VehicleMake,Jeep
Cust12087,VehicleMake,BMW
Cust32737,VehicleMake,Toyota
Cust34650,VehicleMake,Nissan
Cust20468,VehicleMake,Accura
Cust21431,VehicleMake,Suburu
Cust6016,VehicleMake,BMW
Cust34475,VehicleMake,Toyota
Cust21481,VehicleMake,Dodge
Cust27660,VehicleMake,Audi
Cust5195,VehicleMake,Saab
Cust38263,VehicleMake,Honda
Cust11822,VehicleMake,Honda
Cust21361,VehicleMake,Accura
Cust2015,VehicleMake,BMW
Cust6317,VehicleMake,Dodge
Cust10389,VehicleMake,Saab
Cust35412,VehicleMake,BMW
Cust23099,VehicleMake,Chevrolet
Cust35763,VehicleMake,Jeep
Cust4195,VehicleMake,Suburu
Cust31851,VehicleMake,Accura
Cust7709,VehicleMake,Mercedes
Cust10065,VehicleMake,Volkswagen
Cust9007,VehicleMake,Toyota
Cust8228,VehicleMake,Mercedes
Cust13323,VehicleMake,Jeep
Cust2102,VehicleMake,Toyota
Cust29298,VehicleMake,Saab
Cust33651,VehicleMake,Accura
Cust13365,VehicleMake,Volkswagen
Cust20911,VehicleMake,Jeep
Cust26601,VehicleMake,Chevrolet
Cust15702,VehicleMake,Saab
Cust33653,VehicleMake,Accura
Cust20213,VehicleMake,Toyota
Cust4857,VehicleMake,Dodge
Cust19867,VehicleMake,Audi
Cust25829,VehicleMake,Honda
Cust27558,VehicleMake,Nissan
Cust19135,VehicleMake,Accura
Cust32726,VehicleMake,Saab
Cust13798,VehicleMake,Jeep
Cust26544,VehicleMake,Ford
Cust27470,VehicleMake,Volkswagen
Cust36116,VehicleMake,Accura
Cust7786,VehicleMake,Toyota
Cust14374,VehicleMake,Mercedes
Cust2934,VehicleMake,Saab
Cust39319,VehicleMake,Accura
Cust18302,VehicleMake,Suburu
Cust36826,VehicleMake,BMW
Cust21138,VehicleMake,Audi
Cust5950,VehicleMake,Volkswagen
Cust11793,VehicleMake,Audi
Cust16138,VehicleMake,Jeep
Cust30193,VehicleMake,Dodge
Cust17123,VehicleMake,Volkswagen
Cust29248,VehicleMake,Audi
Cust18330,VehicleMake,Chevrolet
Cust9725,VehicleMake,Chevrolet
Cust33262,VehicleMake,Suburu
Cust17970,VehicleMake,Accura
Cust27089,VehicleMake,Chevrolet
Cust19833,VehicleMake,Dodge
Cust15758,VehicleMake,Honda
Cust1559,VehicleMake,Saab
Cust12659,VehicleMake,Saab
Cust37502,VehicleMake,Audi
Cust34318,VehicleMake,Nissan
Cust35359,VehicleMake,Toyota
Cust13034,VehicleMake,Nissan
Cust7787,VehicleMake,Accura
Cust12318,VehicleMake,Dodge
Cust1388,VehicleMake,Honda
Cust5148,VehicleMake,Ford
Cust33056,VehicleMake,Suburu
Cust24477,VehicleMake,Honda
Cust25104,VehicleMake,Volkswagen
Cust6077,VehicleMake,Dodge
Cust29010,VehicleMake,Saab
Cust4662,VehicleMake,Dodge
Cust36919,VehicleMake,Mercedes
Cust6951,VehicleMake,Mercedes
Cust32377,VehicleMake,Suburu
Cust18702,VehicleMake,Volkswagen
Cust12964,VehicleMake,Ford
Cust22216,VehicleMake,Nissan
Cust37438,VehicleMake,Mercedes
Cust39301,VehicleMake,Mercedes
Cust31058,VehicleMake,Suburu
Cust23190,VehicleMake,Saab
Cust19398,VehicleMake,Suburu
Cust34681,VehicleMake,Honda
Cust12557,VehicleMake,Volkswagen
Cust18344,VehicleMake,Jeep
Cust31099,VehicleMake,Suburu
Cust11304,VehicleMake,Mercedes
Cust32784,VehicleMake,Ford
Cust1325,VehicleMake,Honda
Cust18956,VehicleMake,Saab
Cust10025,VehicleMake,Dodge
Cust32024,VehicleMake,Nissan
Cust18884,VehicleMake,Toyota
Cust33412,VehicleMake,Mercedes
Cust20709,VehicleMake,Saab
Cust30948,VehicleMake,Mercedes
Cust22770,VehicleMake,Ford
Cust7720,VehicleMake,Toyota
Cust13248,VehicleMake,Audi
Cust29519,VehicleMake,Nissan
Cust1497,VehicleMake,Accura
Cust17595,VehicleMake,Accura
Cust32932,VehicleMake,Audi
Cust26130,VehicleMake,Volkswagen
Cust27966,VehicleMake,Honda
Cust28060,VehicleMake,Volkswagen
Cust25185,VehicleMake,Ford
Cust37428,VehicleMake,Volkswagen
Cust32876,VehicleMake,Toyota
Cust7769,VehicleMake,Toyota
Cust36765,VehicleMake,Chevrolet
Cust33905,VehicleMake,Accura
Cust22570,VehicleMake,Nissan
Cust13176,VehicleMake,Toyota
Cust21043,VehicleMake,Jeep
Cust33167,VehicleMake,Accura
Cust8913,VehicleMake,Saab
Cust4039,VehicleMake,Mercedes
Cust18907,VehicleMake,Honda
Cust37816,VehicleMake,BMW
Cust30425,VehicleMake,Toyota
Cust2562,VehicleMake,Saab
Cust35631,VehicleMake,Dodge
Cust36880,VehicleMake,Jeep
Cust39345,VehicleMake,Saab
Cust18925,VehicleMake,Toyota
Cust16761,VehicleMake,Volkswagen
Cust3715,VehicleMake,Nissan
Cust31555,VehicleMake,Toyota
Cust32467,VehicleMake,BMW
Cust7583,VehicleMake,Ford
Cust28459,VehicleMake,Suburu
Cust38049,VehicleMake,Toyota
Cust4436,VehicleMake,Saab
Cust29378,VehicleMake,Chevrolet
Cust36854,VehicleMake,Honda
Cust36647,VehicleMake,Ford
Cust34360,VehicleMake,Chevrolet
Cust18623,VehicleMake,Mercedes
Cust38692,VehicleMake,Accura
Cust13680,VehicleMake,Saab
Cust9913,VehicleMake,BMW
Cust14516,VehicleMake,Chevrolet
Cust6999,VehicleMake,Suburu
Cust34660,VehicleMake,Accura
Cust22493,VehicleMake,Accura
Cust16621,VehicleMake,Ford
Cust29756,VehicleMake,BMW
Cust24901,VehicleMake,Dodge
Cust1312,VehicleMake,Honda
Cust19500,VehicleMake,Saab
Cust5533,VehicleMake,Volkswagen
Cust19072,VehicleMake,Chevrolet
Cust12263,VehicleMake,Chevrolet
Cust35970,VehicleMake,Jeep
Cust16605,VehicleMake,Suburu
Cust28775,VehicleMake,Dodge
Cust38804,VehicleMake,Nissan
Cust1831,VehicleMake,Dodge
Cust37580,VehicleMake,Suburu
Cust11657,VehicleMake,Chevrolet
Cust35237,VehicleMake,Suburu
Cust14206,VehicleMake,Dodge
Cust35431,VehicleMake,Dodge
Cust22756,VehicleMake,Dodge
Cust25058,VehicleMake,Audi
Cust38104,VehicleMake,Nissan
Cust7336,VehicleMake,Honda
