CustomerID,VehicleAttribute,VehicleAttributeDetails
Cust21334,VehicleYOM,1996
Cust26634,VehicleYOM,1999
Cust21432,VehicleYOM,2002
Cust22845,VehicleYOM,2000
Cust30659,VehicleYOM,2003
Cust4801,VehicleYOM,1998
Cust18081,VehicleYOM,2013
Cust30660,VehicleYOM,2002
Cust33560,VehicleYOM,2011
Cust17371,VehicleYOM,2001
Cust35566,VehicleYOM,1998
Cust37743,VehicleYOM,1997
Cust38875,VehicleYOM,2010
Cust5712,VehicleYOM,2001
Cust6759,VehicleYOM,2013
Cust29761,VehicleYOM,2004
Cust33779,VehicleYOM,2005
Cust5133,VehicleYOM,2013
Cust21459,VehicleYOM,2012
Cust19293,VehicleYOM,1998
Cust11893,VehicleYOM,2013
Cust8021,VehicleYOM,2007
Cust38385,VehicleYOM,2000
Cust37516,VehicleYOM,2004
Cust9238,VehicleYOM,2000
Cust9868,VehicleYOM,2001
Cust26199,VehicleYOM,2004
Cust34815,VehicleYOM,2001
Cust5112,VehicleYOM,2005
Cust9305,VehicleYOM,2003
Cust28717,VehicleYOM,2001
Cust32122,VehicleYOM,1999
Cust21222,VehicleYOM,2009
Cust13947,VehicleYOM,2010
Cust37944,VehicleYOM,2004
Cust5898,VehicleYOM,2011
Cust34720,VehicleYOM,2004
Cust12321,VehicleYOM,2004
Cust15466,VehicleYOM,1998
Cust27953,VehicleYOM,2014
Cust24392,VehicleYOM,1999
Cust27287,VehicleYOM,1995
Cust31030,VehicleYOM,1997
Cust32369,VehicleYOM,2000
Cust11613,VehicleYOM,2007
Cust4249,VehicleYOM,2008
Cust16328,VehicleYOM,2003
Cust31637,VehicleYOM,2012
Cust36958,VehicleYOM,2007
Cust21011,VehicleYOM,1997
Cust7089,VehicleYOM,1996
Cust24488,VehicleYOM,2005
Cust21943,VehicleYOM,2008
Cust34509,VehicleYOM,2009
Cust10987,VehicleYOM,2001
Cust9095,VehicleYOM,2001
Cust29082,VehicleYOM,2005
Cust10756,VehicleYOM,1999
Cust33744,VehicleYOM,1997
Cust17537,VehicleYOM,2005
Cust31350,VehicleYOM,1995
Cust38963,VehicleYOM,2004
Cust26198,VehicleYOM,2005
Cust30094,VehicleYOM,2007
Cust9666,VehicleYOM,2008
