"CustomerID","VehicleAttribute","VehicleAttributeDetails"
"Cust20179","VehicleID","Vehicle8898"
"Cust13038","VehicleID","Vehicle30212"
"Cust1801","VehicleID","Vehicle24096"
"Cust14947","VehicleID","Vehicle15216"
"Cust19144","VehicleID","Vehicle29018"
"Cust26846","VehicleID","Vehicle21867"
"Cust22099","VehicleID","Vehicle30877"
"Cust4776","VehicleID","Vehicle5750"
"Cust23837","VehicleID","Vehicle39046"
"Cust27932","VehicleID","Vehicle38427"
"Cust38076","VehicleID","Vehicle18099"
"Cust13465","VehicleID","Vehicle14662"
"Cust8720","VehicleID","Vehicle24477"
"Cust22485","VehicleID","Vehicle35945"
"Cust18858","VehicleID","Vehicle23960"
"Cust27812","VehicleID","Vehicle3532"
"Cust17203","VehicleID","Vehicle39248"
"Cust23452","VehicleID","Vehicle14469"
"Cust32191","VehicleID","Vehicle1771"
"Cust3402","VehicleID","Vehicle36042"
"Cust18901","VehicleID","Vehicle13198"
"Cust28191","VehicleID","Vehicle30758"
"Cust26735","VehicleID","Vehicle20258"
"Cust1140","VehicleID","Vehicle14902"
"Cust1009","VehicleID","Vehicle30643"
"Cust19333","VehicleID","Vehicle27721"
"Cust15848","VehicleID","Vehicle4575"
"Cust7122","VehicleID","Vehicle3840"
"Cust10159","VehicleID","Vehicle4294"
"Cust13749","VehicleID","Vehicle27327"
"Cust16471","VehicleID","Vehicle14417"
"Cust8032","VehicleID","Vehicle26901"
"Cust29195","VehicleID","Vehicle34715"
"Cust38074","VehicleID","Vehicle38097"
"Cust8626","VehicleID","Vehicle4194"
"Cust24170","VehicleID","Vehicle38160"
"Cust38229","VehicleID","Vehicle14631"
"Cust38195","VehicleID","Vehicle38144"
"Cust21037","VehicleID","Vehicle21205"
"Cust33714","VehicleID","Vehicle3699"
"Cust35003","VehicleID","Vehicle16663"
"Cust31838","VehicleID","Vehicle29387"
"Cust22157","VehicleID","Vehicle36955"
"Cust26085","VehicleID","Vehicle19500"
"Cust15257","VehicleID","Vehicle25140"
"Cust13298","VehicleID","Vehicle24410"
"Cust18559","VehicleID","Vehicle8508"
"Cust13801","VehicleID","Vehicle19914"
"Cust15016","VehicleID","Vehicle4085"
"Cust35540","VehicleID","Vehicle5941"
"Cust20508","VehicleID","Vehicle10135"
"Cust19969","VehicleID","Vehicle19453"
"Cust30503","VehicleID","Vehicle7218"
"Cust26282","VehicleID","Vehicle20579"
"Cust17919","VehicleID","Vehicle34028"
"Cust27007","VehicleID","Vehicle24930"
"Cust22662","VehicleID","Vehicle13584"
"Cust22422","VehicleID","Vehicle28045"
"Cust19320","VehicleID","Vehicle5808"
"Cust30386","VehicleID","Vehicle11954"
"Cust7706","VehicleID","Vehicle12158"
"Cust10262","VehicleID","Vehicle6734"
"Cust23896","VehicleID","Vehicle1961"
"Cust18919","VehicleID","Vehicle27439"
"Cust30338","VehicleID","Vehicle13163"
"Cust33725","VehicleID","Vehicle22763"
"Cust30702","VehicleID","Vehicle39402"
"Cust2872","VehicleID","Vehicle7968"
"Cust35235","VehicleID","Vehicle20987"
"Cust1307","VehicleID","Vehicle36367"
"Cust3948","VehicleID","Vehicle34045"
"Cust35367","VehicleID","Vehicle22971"
"Cust38372","VehicleID","Vehicle22665"
"Cust18319","VehicleID","Vehicle36523"
"Cust28933","VehicleID","Vehicle29403"
"Cust15442","VehicleID","Vehicle16202"
"Cust37018","VehicleID","Vehicle13704"
"Cust33797","VehicleID","Vehicle27884"
"Cust28886","VehicleID","Vehicle33899"
"Cust28532","VehicleID","Vehicle38278"
"Cust5416","VehicleID","Vehicle18910"
"Cust34357","VehicleID","Vehicle23592"
"Cust10644","VehicleID","Vehicle10194"
"Cust7460","VehicleID","Vehicle13152"
"Cust27194","VehicleID","Vehicle23889"
"Cust36582","VehicleID","Vehicle19345"
"Cust29443","VehicleID","Vehicle32610"
"Cust6590","VehicleID","Vehicle37318"
"Cust10877","VehicleID","Vehicle26154"
"Cust5033","VehicleID","Vehicle9007"
"Cust4078","VehicleID","Vehicle26842"
"Cust33959","VehicleID","Vehicle4907"
"Cust38133","VehicleID","Vehicle17147"
"Cust29890","VehicleID","Vehicle22801"
"Cust6111","VehicleID","Vehicle35555"
"Cust33402","VehicleID","Vehicle26916"
"Cust39191","VehicleID","Vehicle34216"
"Cust31400","VehicleID","Vehicle14434"
"Cust28833","VehicleID","Vehicle1923"
"Cust34770","VehicleID","Vehicle21212"
